student_id,hw_1,hw_2,hw_3,hw_4,hw_5,hw_6
john_doe_1,25.14,28.87,25.96,23.94,24.32,31.18
john_doe_2,25.14,28.87,25.96,23.94,24.32,31.18
john_doe_3,25.14,28.87,25.96,23.94,24.32,31.09
john_doe_4,25.14,28.85,25.96,23.94,24.32,31.06
john_doe_5,24.81,28.85,25.96,23.94,24.32,31.06
john_doe_6,24.81,28.84,25.96,23.94,24.32,31.03
john_doe_7,24.81,28.84,25.96,23.94,24.32,31
john_doe_8,24.73,28.82,25.96,23.94,24.29,31
john_doe_9,24.22,28.73,25.96,23.94,24.29,30.98
john_doe_10,23.97,28.64,25.96,23.94,24.28,30.91
john_doe_11,23.81,28.51,25.96,23.94,24.27,30.88
john_doe_12,23.81,28.51,25.96,23.94,24.26,30.86
john_doe_13,23.81,28.49,25.96,23.94,24.26,30.85
john_doe_14,23.56,28.46,25.96,23.94,24.26,30.85
john_doe_15,23.47,28.44,25.96,23.94,24.25,30.8
john_doe_16,23.33,28.41,25.96,23.84,24.23,30.79
john_doe_17,23.2,28.26,25.96,23.84,24.23,30.74
john_doe_18,23.14,28.22,25.96,23.79,24.23,30.7
john_doe_19,23.14,28.2,25.96,23.79,24.23,30.62
john_doe_20,23.14,28.17,25.96,23.79,24.22,30.56
john_doe_21,22.93,28.15,25.85,23.67,24.21,30.56
john_doe_22,22.89,28.15,25.8,23.64,24.2,30.47
john_doe_23,22.5,27.99,25.8,23.64,24.13,30.46
john_doe_24,22.39,27.99,25.8,23.61,24.09,30.44
john_doe_25,22.33,27.97,25.8,23.61,24.04,30.44
john_doe_26,22.22,27.97,25.75,23.61,23.99,30.43
john_doe_27,22.22,27.94,25.71,23.61,23.99,30.4
john_doe_28,22.14,27.89,25.71,23.49,23.97,30.35
john_doe_29,22.14,27.83,25.64,23.49,23.96,30.33
john_doe_30,22.14,27.75,25.64,23.49,23.94,30.15
john_doe_31,22.14,27.72,25.48,23.46,23.92,30.14
john_doe_32,22.12,27.64,25.48,23.34,23.87,30.08
john_doe_33,21.89,27.61,25.46,23.27,23.83,30.08
john_doe_34,21.87,27.56,25.46,23.18,23.81,30.07
john_doe_35,21.81,27.55,25.37,23.17,23.77,30.03
john_doe_36,21.81,27.49,25.05,23.15,23.74,29.97
john_doe_37,21.72,27.47,25,23.14,23.71,29.76
john_doe_38,21.64,27.46,25,23.06,23.69,29.72
john_doe_39,21.47,27.44,25,23.01,23.65,29.72
john_doe_40,21.45,27.4,25,23.01,23.64,29.69
john_doe_41,21.14,27.37,25,23,23.64,29.66
john_doe_42,21.14,27.34,25,22.94,23.64,29.62
john_doe_43,21.06,27.24,24.89,22.74,23.59,29.5
john_doe_44,21.06,27.2,24.84,22.69,23.59,29.34
john_doe_45,21.06,27.1,24.84,22.55,23.59,29.27
john_doe_46,20.89,27.02,24.83,22.53,23.53,29.2
john_doe_47,20.89,27,24.8,22.4,23.51,29.19
john_doe_48,20.79,26.99,24.77,22.18,23.5,29.1
john_doe_49,20.72,26.97,24.71,22.14,23.44,28.59
john_doe_50,20.64,26.92,24.68,22.01,23.44,28.31
john_doe_51,20.47,26.88,24.64,21.95,23.37,28.18
john_doe_52,20.47,26.87,24.64,21.92,23.29,28.15
john_doe_53,20.45,26.62,24.56,21.79,23.29,27.91
john_doe_54,20.39,26.56,24.5,21.75,23.28,27.88
john_doe_55,20.31,26.54,24.2,21.6,23.27,27.79
john_doe_56,20.22,26.5,24.15,21.44,23.2,27.76
john_doe_57,20.14,26.49,23.96,21.33,22.97,27.57
john_doe_58,20.14,26.42,23.89,21.04,22.91,27.53
john_doe_59,20.12,26.4,23.86,20.92,22.91,27.39
john_doe_60,19.97,26.36,23.77,20.61,22.87,27.37
john_doe_61,19.85,26.24,23.75,20.6,22.76,27.33
john_doe_62,19.81,26.11,23.68,20.24,22.72,27.2
john_doe_63,19.79,26.04,23.68,20.22,22.71,27.18
john_doe_64,19.56,25.88,23.56,20,22.66,27.05
john_doe_65,19.47,25.79,23.49,19.94,22.58,27.01
john_doe_66,19.47,25.71,23.32,19.37,22.32,26.62
john_doe_67,19.47,25.33,22.97,19.31,22.31,26.11
john_doe_68,19.37,25.02,22.82,19.16,22.13,26.03
john_doe_69,19.22,24.97,22.51,19.09,22.1,25.6
john_doe_70,19.14,24.35,22.51,18.64,22.1,25.49
john_doe_71,19.14,23.8,22.45,18.52,21.97,25.44
john_doe_72,19.14,22.74,22.44,18.43,21.81,25.3
john_doe_73,19.12,22,22.38,18.1,21.74,24.93
john_doe_74,19.12,21.78,22.13,17.65,21.57,24.69
john_doe_75,18.87,21.26,21.93,16.35,21.5,24.4
john_doe_76,18.87,20.12,21.93,15.8,21.49,24.38
john_doe_77,18.47,19.81,21.6,15.52,21.46,23.3
john_doe_78,18.47,19.55,21.22,12.67,21.33,22.86
john_doe_79,18.39,19.18,21.16,12.64,20.94,22.06
john_doe_80,18.37,19.09,20.88,12.04,20.71,20.46
john_doe_81,18.2,19,20.79,10.73,20.55,19.28
john_doe_82,18.04,18.69,19.77,0,20.04,18.93
john_doe_83,17.35,18.65,19.51,0,20.01,14.13
john_doe_84,17.29,18.53,17.52,0,19.51,9.87
john_doe_85,17.27,18.37,17.05,0,18.46,6.21
john_doe_86,16.96,18.16,16.4,0,18.25,5.6
john_doe_87,16.79,17.75,16.26,0,6.45,3
john_doe_88,16.52,17.23,14.45,0,0,2.72
john_doe_89,16.39,17.06,14.3,0,0,2.5
john_doe_90,16.06,16.33,13.85,0,0,0
john_doe_91,15.45,13.73,12.89,0,0,0
john_doe_92,15.39,13.61,12.35,0,0,0
john_doe_93,15.29,10.68,11.57,0,0,0
john_doe_94,14.31,10.24,9,0,0,0
john_doe_95,13.45,3,5.83,0,0,0
john_doe_96,0,0,0,0,0,0
john_doe_97,0,0,0,0,0,0
john_doe_98,0,0,0,0,0,0
john_doe_99,0,0,0,0,0,0